besoin,titre_besoin,rang,marque,produit,format,prix_constate_eur,statut_prix,fournisseur_canal
49,Introduire un actif à la fois + combinaisons sûres,1,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
49,Introduire un actif à la fois + combinaisons sûres,2,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
49,Introduire un actif à la fois + combinaisons sûres,3,The Ordinary,Acide azélaïque 10 %,30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
49,Introduire un actif à la fois + combinaisons sûres,4,The Ordinary,Acide lactique 10 % + HA,30 ml,14.89,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
49,Introduire un actif à la fois + combinaisons sûres,5,The Ordinary,Suspension vitamine C 23 %,30 ml,8.2,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
50,"Peau enceinte / allaitement (ce qu'on écarte, ce qui reste)",1,The Ordinary,Acide azélaïque 10 % (alternative douce documentée),30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
50,"Peau enceinte / allaitement (ce qu'on écarte, ce qui reste)",2,Beauty of Joseon,Relief Sun SPF50+ (ce qui reste),50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
50,"Peau enceinte / allaitement (ce qu'on écarte, ce qui reste)",3,CeraVe,"Lotion hydratante (ce qui reste, sans parfum)",400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
50,"Peau enceinte / allaitement (ce qu'on écarte, ce qui reste)",4,The INKEY List,Bakuchiol (alternative végétale au rétinol),30 ml,18.95,"vérifié le 15/09/2026 — boozyshop.com (EUR, livraison FR)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
50,"Peau enceinte / allaitement (ce qu'on écarte, ce qui reste)",5,La Roche-Posay,Anthelios XL teinté SPF50+ (ce qui reste),50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
